,Film Name, Box Office Gross 
4135,Midnight Express (1978)," $35,000,000.00 "
4136,An Unmarried Woman (1978)," $24,000,000.00 "
4252,Annie Hall (1977)," $38,251,425.00 "
4253,The Goodbye Girl (1977)," $102,000,000.00 "
4254,Julia (1977)," $20,714,400.00 "
4255,Star Wars (1977)," $307,263,857.00 "
4256,The Turning Point (1977)," $25,933,445.00 "
4377,All the President's Men (1976)," $70,600,000.00 "
4378,Bound for Glory (1976), n/a 
4379,Network (1976)," $23,689,877.00 "
4380,Rocky (1976)," $117,235,147.00 "
4381,Taxi Driver (1976)," $28,262,574.00 "
4490,Barry Lyndon (1975)," $20,200,000.00 "
4491,Dog Day Afternoon (1975)," $50,000,000.00 "
4492,Jaws (1975)," $123,100,000.00 "
4493,Nashville (1975)," $9,984,123.00 "
4494,One Flew over the Cuckoo's Nest (1975)," $109,981,275.00 "
4608,Chinatown (1974)," $29,200,000.00 "
4609,The Conversation (1974)," $4,420,000.00 "
4610,The Godfather Part II (1974)," $47,542,841.00 "
4611,Lenny (1974)," $11,620,000.00 "
4612,The Towering Inferno (1974)," $116,000,000.00 "
4723,American Graffiti (1973)," $115,000,000.00 "
4724,Cries and Whispers (1973)," $1,500,000.00 "
4725,The Exorcist (1973)," $232,906,145.00 "
4726,The Sting (1973)," $156,000,000.00 "
4727,A Touch of Class (1973)," $16,800,000.00 "
4833,Cabaret (1972)," $42,800,000.00 "
4834,Deliverance (1972)," $46,100,000.00 "
4835,The Emigrants (1972), n/a 
4836,The Godfather (1972)," $134,966,411.00 "
4837,Sounder (1972)," $17,000,000.00 "
4948,A Clockwork Orange (1971)," $26,589,355.00 "
4949,Fiddler on the Roof (1971)," $10,404,330.00 "
4950,The French Connection (1971)," $51,700,000.00 "
4951,The Last Picture Show (1971)," $29,133,000.00 "
4952,Nicholas and Alexandra (1971)," $7,000,000.00 "
5058,Airport (1970)," $100,489,151.00 "
5059,Five Easy Pieces (1970)," $18,100,000.00 "
5060,Love Story (1970)," $106,397,186.00 "
5061,M*A*S*H (1970)," $81,600,000.00 "
5062,Patton (1970)," $61,749,765.00 "
5170,Anne of the Thousand Days (1969)," $6,134,000.00 "
5171,Butch Cassidy and the Sundance Kid (1969)," $102,308,889.00 "
5172,"Hello, Dolly! (1969)"," $26,000,000.00 "
5173,Midnight Cowboy (1969)," $44,758,053.00 "
5174,Z (1969)," $17,300,000.00 "
5283,Funny Girl (1968)," $52,223,306.00 "
5284,The Lion in Winter (1968)," $22,300,000.00 "
5285,Oliver! (1968)," $77,400,000.00 "
5286,"Rachel, Rachel (1968)"," $3,000,000.00 "
5287,Romeo and Juliet (1968)," $38,900,000.00 "
5402,Bonnie and Clyde (1967)," $70,000,000.00 "
5403,Doctor Dolittle (1967)," $9,000,000.00 "
5404,The Graduate (1967)," $104,900,000.00 "
5405,Guess Who's Coming to Dinner (1967)," $56,700,000.00 "
5406,In the Heat of the Night (1967)," $24,300,000.00 "
5530,Alfie (1966)," $18,870,000.00 "
5531,A Man for All Seasons (1966)," $28,400,000.00 "
5532,The Russians Are Coming The Russians Are Coming (1966)," $21,690,000.00 "
5533,The Sand Pebbles (1966)," $30,000,000.00 "
5534,Who's Afraid of Virginia Woolf? (1966)," $40,000,000.00 "
5659,Darling (1965)," $4,000,000.00 "
5660,Doctor Zhivago (1965)," $111,821,910.00 "
5661,Ship of Fools (1965)," $3,500,000.00 "
5662,The Sound of Music (1965)," $158,671,368.00 "
5663,A Thousand Clowns (1965)," $2,400,000.00 "
5787,Becket (1964)," $9,100,000.00 "
5788,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)," $9,400,000.00 "
5789,Mary Poppins (1964)," $102,300,000.00 "
5790,My Fair Lady (1964)," $72,000,000.00 "
5791,Zorba the Greek (1964)," $23,500,000.00 "
5917,America America (1963), n/a 
