Year,Won?,Acting Noms,Acting Wins,Writing Noms,Writing Wins,Directing Noms,Directing Wins,Cinematography Noms,Cinematography Wins,Editing Noms,Editing Wins,Production Design Noms,Production Design Wins,Sound Noms,Sound Wins,Total Nominations,Total Wins
1982,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1
1982,0,3,1,1,0,1,0,1,0,1,0,0,0,2,0,9,1
1982,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0
1981,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0
1981,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,6,3
1981,0,3,2,1,1,1,0,1,0,1,0,0,0,2,0,9,3
1981,0,0,0,0,0,1,0,1,0,1,1,1,1,3,2,7,4
1981,0,4,1,1,0,1,1,1,1,1,0,2,0,1,0,11,3
1980,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,6,1
1980,0,1,0,1,0,1,0,0,0,1,0,2,0,1,0,7,0
1980,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,5,3
1980,0,3,1,0,0,1,0,1,0,1,1,0,0,1,0,7,2
1980,0,0,0,0,0,1,0,1,1,0,0,2,2,1,0,5,3
1979,0,1,0,1,0,1,0,1,0,1,1,2,2,1,1,8,4
1979,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,7,2
1979,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,4,1
1979,1,4,2,1,1,1,1,1,0,1,0,0,0,0,0,8,4
1979,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,2
1978,0,4,2,1,1,1,0,0,0,1,0,0,0,0,0,7,3
1978,1,3,1,1,0,1,1,1,0,1,1,0,0,1,1,8,4
1978,0,3,0,1,0,1,0,1,0,0,0,1,1,1,0,8,1
1978,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,5,2
1978,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
1977,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,4,3
1977,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1
1977,0,4,2,1,1,1,0,1,0,1,0,1,0,1,0,10,3
1977,0,1,0,1,0,1,0,0,0,1,1,2,2,2,2,8,5
1977,0,4,0,1,0,1,0,1,0,1,0,1,0,1,0,10,0
1976,0,2,1,1,1,1,0,0,0,1,0,1,1,1,1,7,4
1976,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,5,2
1976,0,5,3,1,1,1,0,1,0,1,0,0,0,0,0,9,4
1976,1,4,0,1,0,1,1,0,0,1,1,0,0,2,0,9,2
1976,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
1975,0,0,0,1,0,1,0,1,1,0,0,2,2,1,1,6,4
1975,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,5,1
1975,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,3,3
1975,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,4,1
1975,1,3,2,1,1,1,1,1,0,1,0,0,0,1,0,8,4
